@relation 'Hand-based-all-weka.filters.unsupervised.attribute.Remove-R75-97-weka.filters.unsupervised.attribute.Remove-R6,15,2,4'

@attribute Sigdist numeric
@attribute AYXV numeric
@attribute VEL1X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
879.9507,-0.017391,0.044672,36.916531,-1.331719,27,0.028837,-0.000645,-0.098648,3.282814,1494.07256,11.822,31,22,0.564222,1275.326682,602.336232,130282946.016951,3.282814,11822,113,-10019,-1803,-5706,-6099,7,7,443,0,63,63,125,47,47,31,16,16,63,78,78,156,31,47,31,78,62,63,78,78,94,62,94,63,125,47,47,93,172,15,63,78,16,125,110,125,93,63,15,79,2970,54
1018.0428,-0.003929,0.045467,0,-5.030303,0.482175,0.019685,-0.000146,0.978215,2.509656,1956.4923,19.085,29,23,0.561442,1426.186369,754.832005,170246862.919997,2.509656,19085,105,-16172,-2913,-11598,-7471,34,34,510,0,110,141,15,94,94,31,47,110,15,79,0,16,78,93,79,15,110,15,110,62,110,47,94,31,109,78,79,78,78,15,78,93,94,16,32,63,47,47,31,94,2738,54
1883.58182,-0.014719,-0.341362,0,0.300324,-0.013909,0.123265,-0.000818,-0.044539,4.200808,1883.58182,13.006,28,20,0.611587,1434.744607,696.781893,111756265.632137,4.200808,13006,101,-9518,-3488,-4828,-8161,17,17,164,0,32,203,31,78,78,15,63,16,63,78,125,16,125,94,16,94,78,16,78,78,94,93,0,31,110,47,47,93,172,15,63,78,16,125,94,63,93,63,15,79,2846,54
1113.9758,0.006009,0,-91.49693,-0.007497,-0.014993,0,0,-0.194582,4.660004,1694.9391,28.334,47,31,0.498935,1170.552136,658.384439,423887165.389384,4.660004,28334,167,-21619,-6715,-13349,-14968,0,7,7,0,125,125,500,94,94,78,78,78,156,235,235,31,94,62,188,250,78,47,63,78,157,125,78,94,94,156,94,110,156,47,125,109,125,62,63,47,265,62,16,94,5096,55
1136.29428,0.013038,0.133398,-78.721049,0.303457,-0.808475,0.014498,0.00482,-0.170029,4.337135,1831.9687,15.9,26,28,0.624526,1266.838783,603.222955,367042199.633463,4.337135,15900,140,-15139,-761,-3684,-12199,7,7,16,0,125,156,15,94,94,63,62,78,15,78,94,125,109,110,62,141,16,109,63,62,47,125,43,173,267,79,78,62,203,31,109,31,141,343,156,32,93,62,32,93,4137,55
1117.38684,0.015274,0.147059,-44.953874,0.175429,0.011138,0.017673,0.005395,-0.198006,4.07103,1648.54764,15.307,32,26,0.606101,1113.161415,516.958734,255542364.633709,4.07103,15307,142,-15055,-252,-3679,-11612,7,7,17,0,156,63,141,46,63,15,94,78,156,235,0,46,109,62,85,43,78,110,93,78,0,31,1063,1172,16,156,94,110,156,47,125,109,125,62,93,32,78,62,16,94,5517,55
899.85462,0.014774,0.341989,0,0.150621,-0.00886,0.015455,0.008005,-0.389991,3.369891,2094.72277,35.767,131,98,0.700157,1051.38829,565.859091,1579090387.24654,3.369891,35767,213,-25768,-9999,-8745,-27005,17,17,0,17,94,94,110,78,78,15,63,63,62,94,94,141,78,78,32,110,62,16,94,78,157,78,78,109,156,31,94,62,78,47,78,109,156,110,32,79,78,94,31,78,3534,56
735.14595,0.016762,0.068724,-6.118704,0.074378,-0.102589,0.005816,0.00782,-0.273722,3.990526,2046.08976,25.688,82,55,0.694733,1197.705547,633.419499,1020939587.2383,3.990526,25688,166,-25454,-234,-6467,-19205,7,7,8,0,78,93,79,78,78,31,78,47,47,62,94,109,79,62,63,62,203,265,32,62,78,78,16,94,94,47,110,62,156,63,125,78,94,156,62,78,78,125,16,94,3531,56
234.97774,0.00201,0.235865,-11.522431,0.085995,-0.005734,0.003281,0.000937,-0.281635,3.622729,1785.47995,24.977,81,44,0.680262,924.202,475.66919,758619285.009971,3.622729,24977,144,-21277,-3700,-6408,-18552,0,8,7,0,62,78,63,93,94,15,63,63,62,94,78,94,63,16,109,16,32,15,93,110,719,78,812,63,203,31,94,62,78,47,78,109,156,110,94,31,63,94,31,78,4454,56
1358.60216,0.00741,0.05999,-27.068045,-0.022932,-0.200653,0.024587,0.00403,-0.448761,9.598348,1518.24269,19.281,36,35,0.510958,892.382674,1155.194875,120038506.039887,9.598348,19281,170,-5280,-14001,-7245,-12019,0,0,0,17,109,109,79,94,94,32,93,93,32,110,110,62,62,32,62,63,78,16,63,79,157,62,562,94,16,656,47,63,32,78,79,766,782,15,47,125,16,15,62,47,5333,57
787.44015,0.018642,0,0,-0.023507,0.024616,0,0,-0.534426,1.834269,1488.80952,42.593,45,40,0.476538,841.82333,1135.838655,107189946.964805,1.834269,42593,180,-3228,-39365,-7945,-34631,15,0,0,7,78,16,93,32,93,16,32,78,15,62,640,703,63,63,62,141,47,94,47,16,15,62,16,31,62,78,63,141,110,15,93,832,62,32,15,78,15,15,62,31,4297,57
1297.88408,0.007081,0,-51.794661,-0.389843,-0.366912,0,0.004413,-0.412214,10.714364,1396.124514,15.402,39,40,0.489365,763.418195,1176.684352,97907810.185714,10.714364,15402,176,-1697,-13705,-8085,-7307,7,0,0,16,15,46,63,94,63,31,78,93,32,110,0,15,125,110,31,16,703,16,47,62,738,832,719,812,47,656,47,63,32,78,79,766,782,15,31,109,16,15,62,47,7947,57
2348.41291,0.006494,0.486569,-30.008611,-0.272889,-0.194918,0.055828,0.002402,-0.293289,9.280911,2412.34712,27.195,67,80,0.527517,1280.275352,223.597166,1114590297.8933,9.280911,27195,248,-24702,-2493,-13840,-13338,17,17,17,0,110,110,78,109,109,297,109,109,79,109,109,31,78,63,125,78,47,234,78,110,156,62,0,16,94,141,62,109,140,16,62,109,203,63,32,78,109,63,16,62,3921,58
1168.94357,0.003464,-0.014706,0,-0.02658,-0.023627,0.023074,0,-0.170222,9.288741,1749.90667,25.999,78,73,0.529585,892.073655,162.746511,778358257.962927,9.288741,25999,243,-23975,-2024,-13132,-12851,8,8,7,0,78,94,47,94,93,203,63,125,63,62,0,31,141,109,47,203,94,109,32,78,187,63,62,203,110,78,78,63,109,16,78,125,63,94,78,265,110,78,16,78,3845,58
1927.28519,0.002037,0,-15.563689,0.005129,0.123108,0,0,-0.376367,12.433368,2024.843345,27.027,91,74,0.519543,985.066378,163.882529,895522926.054573,12.433368,27027,254,-25825,-1202,-13447,-13564,8,8,8,0,78,328,31,125,78,172,62,109,79,109,0,16,94,93,251,62,125,109,109,63,78,125,813,156,94,141,62,109,140,16,62,109,203,63,78,219,78,63,16,62,4874,58
